word,label,polarity,count,pos_score,neg_score
인플레이션기대심리/NNG;확산될/VVX,1,1.0,1,0.9011428957913835,0.12153278732714055
경제지표/NNG;양호하/VVX,1,0.9896706173296834,1,0.8605347789706036,0.11829279340994696
잠재성장률/NNG;웃돌/VV,1,0.9823554499114457,1,0.8914789273309186,0.13008702186908996
소비지출/NNG;증가하/VVX,1,0.9403574884298707,1,0.9420628479390037,0.1698681335771683
생산/NNG;증가했/VVX,1,0.9305036505564919,1,1.0,0.19239126708319235
수출/NNG;호조/NNG;지속하/VVX,1,0.8195908742619522,1,0.9919725589402097,0.27176831911750204
견조한/VAX;성장/NNG;지속하/VVX,1,0.6797870370407393,1,0.4391639065844913,0.13131472124573448
물가안정기조/NNG;유지되/VVX,1,0.6772175981773352,1,0.4284587937653295,0.1274299395464383
물가안정/NNG;유지되/VVX,1,0.6724989884943509,1,0.4195126171876594,0.125167180977959
물가안정기조/NNG;하/VV,1,0.672086509411076,1,0.4224412664768039,0.12669338080759224
물가안정기조/NNG;유지하/VVX,1,0.6710593034784735,1,0.42596024305250507,0.12874322112972963
물가안정/NNG;안정되/VVX,1,0.6574377439237196,1,0.41612087510051454,0.12954407009713803
금융안정/NNG;유의하/VVX,1,0.648791921190184,1,0.3951831367533725,0.122849820433641
성장세회복/NNG;지원하/VVX,1,0.6484920913175058,3,0.39737530512627217,0.12402754008413251
성장잠재력/NNG;훼손되/VVX;않/VX,1,0.6475313845285684,2,0.39948657544285715,0.12542297221031593
성장세회복/NNG;지속되/VVX,1,0.6434774791495836,1,0.40658505299020203,0.13046645809707824
경제/NNG;성장세회복/NNG;지원하/VVX,1,0.642229068071813,2,0.4115441896091585,0.1333892993723087
경제/NNG;성장세회복/NNG;지원하/VVX;두/VV,1,0.6379728034905978,1,0.41173545079865637,0.1351849382014482
인플레이션기대심리/NNG;낮추/VV,1,0.6366579590326191,1,0.3819817294100999,0.12099265735324137
물가안정/NNG;유지될/VVX,1,0.6288069335268527,1,0.4009919149334855,0.13348461860133995
견실한/VAX;경제성장/NNG;지속되/VVX,1,0.6286051672011721,1,0.3990483593102072,0.13258956764307206
과도한/VAX;위축/NNG;방지하/VVX,1,0.6279238266608997,1,0.3879043914401719,0.1272624347632123
금융안정/NNG;유의해/VVX,1,0.6271066925727056,1,0.3788915636151973,0.12304491341096223
경기/NNG;과도한/VAX;위축/NNG;방지하/VVX,1,0.6262120932517956,1,0.3891739596997194,0.1285590738429466
물가안정기조/NNG;유지될/VVX,1,0.6228242048558983,1,0.3984505176394987,0.13456412294643655
경기회복세/NNG;되/VV,1,0.6191680535547719,1,0.3895037637762166,0.13144990883692279
성장/NNG;유지하/VVX,1,0.6165868922848861,2,0.3710704582287734,0.12302016220053887
저성장/NNG;성장잠재력/NNG;훼손되/VVX;않/VX,1,0.6124933035354652,1,0.38206466375588416,0.13021411597315702
금융완화/NNG;기조하/VVX,1,0.6099291702455618,1,0.387433716973361,0.1339771155286681
성장잠재력/NNG;훼손되/VVX,1,0.6086878771784889,3,0.3750880940669229,0.12805976913590233
물가안정/NNG;두/VV,1,0.6078026391962135,1,0.34734508875874276,0.11399064642049539
물가안정/NNG;정책/NNG;두/VV,1,0.6033239759550941,1,0.3478287171868807,0.11583844042613421
성장/NNG;두/VV,1,0.6025838667893875,1,0.3430766090134429,0.11361410688396674
물가안정/NNG;중요하/VVX,1,0.5999232689891905,1,0.33613929368925033,0.11090598571621908
견조한/VAX;성장/NNG;지속할/VVX,1,0.597082995373102,1,0.3825292802632149,0.13641209475644317
물가안정/NNG;도모하/VVX,1,0.5905205260067472,1,0.34030140281995835,0.11641537069252876
성장세회복/NNG;이어지/VV,1,0.5890599563505068,1,0.36724369244219623,0.1313601903913037
물가상승률/NNG;안정될/VVX,1,0.5804795860139427,1,0.34991637252905156,0.12521092707874346
성장/NNG;지속하/VVX,1,0.5799299535077671,4,0.3630390909680581,0.132544018808417
경제성장/NNG;지속되/VVX,1,0.5796222956574364,2,0.3464630453618805,0.12364707068218184
견조한/VAX;성장/NNG;유지하/VVX,1,0.5794455379015833,1,0.37365870466324724,0.13850306589048852
물가안정/NNG;주력하/VVX,1,0.5727335136111971,1,0.3217294769454465,0.1125572752354026
물가상승률/NNG;접근하/VVX,1,0.5697069275064002,1,0.3567904108202467,0.1329698535590054
금융시장안정/NNG;도모하/VVX,1,0.5557123860948949,1,0.3230860321595853,0.11921242319393478
금융완화/NNG;유지하/VVX,1,0.5542474566162765,1,0.3251971555940679,0.12092066522509992
경제성장/NNG;지속하/VVX,1,0.553692510545861,1,0.3415895833485374,0.1304079587888956
경제/NNG;성장/NNG;지속하/VVX,1,0.5489212677239772,1,0.3385633109953477,0.13043409453275487
성장/NNG;뒷받침하/VVX,1,0.5484666383191279,1,0.31982912088937837,0.11989277144244335
물가안정/NNG;유지하/VVX,1,0.544831455207742,1,0.3013280013438887,0.11052792384150281
금융안정/NNG;초점/NNG;맞추/VV,1,0.5420091424372229,1,0.321479271560289,0.12310527208000634
물가안정/NNG;추구하/VVX,1,0.541590163532016,1,0.2962378556731261,0.10866858759106181
물가안정/NNG;강조하/VVX,1,0.5412266091960272,1,0.2899205165534923,0.10513620537727285
위축/NNG;방지하/VVX,1,0.5336186635181459,1,0.341170908739032,0.137593994278812
성장/NNG;강조하/VVX,1,0.5258104033150526,1,0.2866306004850687,0.10821492137953626
정책/NNG;두/VV,1,0.5257079841797538,1,0.27994787464761217,0.10428973970856836
물가안정/NNG;있/VV,1,0.5240598215590324,1,0.28596992645779695,0.10839238172953239
