word,label,polarity,count,pos_count,neg_count,neu_count,pos_score,neg_score
증권/NNG@$투자/NNG@$자금/NNG@$유출/NNG,0,1.0,16,15,1,19,0.4194016825033851,1.0687500014682286e-06
외국인/NNG@$증권/NNG@$투자/NNG@$자금/NNG@$유출/NNG,0,0.9999963422183511,14,13,1,19,0.39175131974965527,1.7146405442596954e-06
마이너스/NNG@$갭/NNG@$지속/NNG,1,0.9999659641117542,44,39,5,11,0.7295548930885526,1.427275279981815e-05
회복세/NNG@$완만/XR@$예상/NNG,1,0.9995994399801857,37,31,6,15,0.6361567469316863,0.00012903466853406612
정책/NNG@$일관성/NNG@$유지/NNG,1,0.9987398329247454,37,30,7,24,0.6234936642633502,0.0003946234629123744
금리/NNG@$인상/NNG@$소수/NNG@$의견/NNG,1,0.9974447450487822,43,34,9,7,0.6727790397541473,0.0008622300912180914
경제/NNG@$회복세/NNG@$완만/XR,1,0.9958043377622194,49,38,11,33,0.7185045901930956,0.0015120463908665685
지속/NNG@$도움/NNG@$방향/NNG,1,0.9951742579996341,40,31,9,12,0.6360133304540142,0.0015396913154571885
경기/NNG@$회복세/NNG@$지속/NNG@$도움/NNG@$방향/NNG,1,0.9951742579996341,40,31,9,11,0.6360133304540142,0.0015396913154571885
회복세/NNG@$지속/NNG@$도움/NNG@$방향/NNG,1,0.9951742579996341,40,31,9,11,0.6360133304540142,0.0015396913154571885
인상/NNG@$소수/NNG@$의견/NNG,1,0.9929353969169217,97,73,24,16,0.9520969671749193,0.0033768717483089136
물가/NNG@$상방/NNG@$리스크/NNG,0,0.9925648315429112,22,17,5,19,0.4471734276452841,0.0016694659242473034
지준율/NNG@$인상/NNG@$조치/NNG,1,0.9922251596918923,30,23,7,23,0.5304347246219095,0.002071072064816025
경제/NNG@$하강/NNG@$리스크/NNG,1,0.9889496529715138,44,33,11,13,0.6604466481430423,0.003670418608624296
사상/NNG@$최저/NNG@$동결/NNG,1,0.9831026599654968,42,31,11,17,0.6356137043911416,0.00541654822206825
금융/NNG@$균형/NNG@$누적/NNG,0,0.9826878430292283,20,15,5,22,0.4192386895718693,0.003661097149263501
인플레이션기대심리/NNG@$낮추/VV@$노력/NNG,1,0.9811247428422951,52,38,14,15,0.7178027263059611,0.006839566461267761
대미/NNG@$무역/NNG@$흑자/NNG,0,0.9798948368461802,27,20,7,24,0.48879806683034627,0.004963981500269039
경제/NNG@$전망/NNG@$개선/NNG,1,0.9789989477134275,34,25,9,11,0.557343000022491,0.005914915026350823
경기/NNG@$회복/NNG@$저해/NNG,1,0.97893695431777,41,30,11,21,0.6228759689548345,0.006630113154409291
은행/NNG@$지준율/NNG@$인상/NNG,1,0.9743668533939147,57,41,16,25,0.7491173169657207,0.009726019866632199
기준금리/NNG@$인상/NNG@$나서/VV,1,0.9736082934711086,40,29,11,11,0.6099323363223756,0.008156369751982816
성장세/NNG@$둔화/NNG@$예상/NNG,1,0.9693960169319353,36,26,10,9,0.570510284559137,0.008865544348032614
인상/NNG@$시중/NNG@$유동성/NNG,1,0.9693409598694311,46,33,13,15,0.6597006046243045,0.010270259597662501
장단기/NNG@$시장/NNG@$금리/NNG,1,0.9673009268996511,29,21,8,5,0.5024482068689936,0.008351188049361634
물가/NNG@$목표/NNG@$하회/NNG,0,0.9656054095040676,22,16,6,16,0.43294861148956215,0.007575635499027764
물가/NNG@$상승세/NNG@$확대/NNG,1,0.9645125372191972,42,30,12,19,0.6224065214863964,0.011242973081235164
훼손/NNG@$않/VX@$중기적/NNG@$소비자/NNG@$물가/NNG,1,0.962575114195287,45,32,13,18,0.6472734051445503,0.012342568527057061
성장잠재력/NNG@$훼손/NNG@$않/VX@$중기적/NNG@$소비자/NNG,1,0.962575114195287,45,32,13,18,0.6472734051445503,0.012342568527057061
경제/NNG@$불확실성/NNG@$높/VA,1,0.962575114195287,45,32,13,28,0.6472734051445503,0.012342568527057061
엔/NNG@$캐리/NNG@$자금/NNG,1,0.9605048086630039,35,25,10,15,0.5569101931590479,0.01121868320840866
내수/NNG@$수출/NNG@$균형/NNG,0,0.9598110528326353,25,18,7,19,0.46069755400880674,0.009446865805356724
성장/NNG@$모멘텀/NNG@$유지/NNG,0,0.9598110528326353,25,18,7,14,0.46069755400880674,0.009446865805356724
경제/NNG@$경제정책/NNG@$방향/NNG,0,0.9598110528326353,25,18,7,29,0.46069755400880674,0.009446865805356724
유로지역/NNG@$경제활동/NNG@$부진/NNG,1,0.9593224632076385,70,49,21,22,0.8210326321532294,0.017044641863809214
상승률/NNG@$물가/NNG@$목표/NNG@$통화정책/NNG,1,0.9571176832842407,57,40,17,17,0.7378690847059282,0.01616651700891753
금리/NNG@$격차/NNG@$확대/NNG,1,0.9541728947767825,44,31,13,9,0.6346060642132891,0.014881135675090048
유럽연합/NNG@$탈퇴/NNG@$결정/NNG,1,0.9515816527998271,31,22,9,32,0.515935174976008,0.012799355584127163
서브프라임/NNG@$모기/NNG@$지발/NNG,1,0.9484701643714912,62,43,19,12,0.7673148069403233,0.020291092328737236
외국인/NNG@$증권/NNG@$자금/NNG,0,0.9480910011727663,21,15,6,6,0.4188922073583479,0.011160977079064728
개선/NNG@$금리/NNG@$인하/NNG,1,0.944985593557329,40,28,12,14,0.5961395700889796,0.016860559677965636
금리/NNG@$상승/NNG@$가계부채/NNG,1,0.943732761863477,43,30,13,15,0.6217005481370154,0.017995476167467567
자산/NNG@$가격/NNG@$급등/NNG,1,0.9393151186074336,88,60,28,32,0.8926851347407143,0.027931254266371053
