word,label,polarity,ratio,count,intensity,pos_score,neg_score
부진/NNG;늪/NNG,1,1.0,89.72408234684143,111,89.72408234684143,894.2651230029627,9.966834985796249
고변동성/NNG,1,0.9998290258835132,89.0741593885981,867,89.0741593885981,868.1752353900199,9.74665650901613
급락/NNG,1,0.9994412180136171,87.63395031402878,57064,87.63395031402878,845.9350304444794,9.65305144197133
위축/NNG,1,0.9993906181903723,87.44942642985731,40050,87.44942642985731,848.7372665815847,9.70546407485419
불안정/NNG,1,0.9992190094866387,86.82929699012878,5118,86.82929699012878,837.9053930626153,9.65003083185014
심각/NNG,1,0.9991808389725292,86.69254385190699,11907,86.69254385190699,878.8593435051677,10.137657801419277
침체/NNG,1,0.999073536263218,86.310381606862,37351,86.310381606862,878.3157314096314,10.176246646785792
위기/NNG;빠지/VV,1,0.9983343430768951,83.76559143798694,442,83.76559143798694,872.430828080191,10.415145563988121
기업/NNG;도산/NNG,1,0.9983047512885824,83.66680109854066,158,83.66680109854066,825.4227902197968,9.865595186884635
불안정성/NNG;확대/NNG,1,0.998296525158879,83.6393797986632,168,83.6393797986632,835.9416395805971,9.994593953145955
위험/NNG;증대/NNG,1,0.99810973027644,83.02145409110179,777,83.02145409110179,822.6475391744863,9.908854863849673
최악/NNG,1,0.9979314598913891,82.44008447574679,7083,82.44008447574679,869.6252239055609,10.548572692952513
우려/NNG,1,0.9975768323387548,81.3071792368719,205933,81.3071792368719,833.6317794380593,10.252868040218724
공포/NNG,1,0.9974178793737951,80.80930756894,4078,80.80930756894,857.1465451296699,10.60702746893879
경제/NNG;부정적/VAX,1,0.9971263140811137,79.91155302120208,1682,79.91155302120208,856.2658770323515,10.715170018096977
신용위기/NNG;우려/NNG,1,0.9969641012714486,79.42056427271645,395,79.42056427271645,829.4651966775454,10.443960002969831
불확실성/NNG,1,0.9969602880402708,79.4090942212475,70069,79.4090942212475,855.2975723784107,10.770776077553577
불안/NNG,1,0.9963341537832119,77.56903176314671,70063,77.56903176314671,856.796145140449,11.045595460784332
금융위기/NNG;확산/NNG,1,0.9953432696846685,74.82313288865178,316,74.82313288865178,838.4470784363882,11.205720023567112
불투명/NNG,1,0.9949705304951141,73.83924726928286,4210,73.83924726928286,871.9177056291567,11.80832332227572
불확실/NNG,1,0.9945729783088353,72.81762081588194,6369,72.81762081588194,872.4505786400758,11.98131123847141
부양/NNG;양적완화/NNG,1,0.994274537758103,72.06883294124408,212,72.06883294124408,818.8748790347079,11.36239960625304
재정위기/NNG;확산/NNG,1,0.9923713730954434,67.6294023829355,1202,67.6294023829355,843.8216264030572,12.477141548954059
위험/NNG;회피/NNG,1,0.9388333586476368,24.3324178374956,4118,24.3324178374956,880.5731153942429,36.18929780325009
늪/NNG;빠지/VV,1,0.8868650519413448,14.711156946393903,376,14.711156946393903,145.7974095319421,9.910669165125109
침체/NNG;늪/NNG,1,0.8862985423150788,14.646377410744893,189,14.646377410744893,145.1111447149471,9.90764751210702
심각/NNG;경기/NNG;침체/NNG,1,0.8859316759136047,14.604710977464407,179,14.604710977464407,141.8345822186661,9.711563784967874
늪/NNG,1,0.8852905438271891,14.53242555112661,712,14.53242555112661,147.09869395477773,10.122102015060664
침체/NNG;늪/NNG;빠지/VV,1,0.8833779605727937,14.320712720504641,89,14.320712720504641,144.12779827533558,10.064289472755846
위기/NNG;심각/NNG,1,0.8812502795335527,14.09186998624503,179,14.09186998624503,140.91403971441665,9.999669302368089
경기/NNG;침체/NNG;늪/NNG,1,0.8783703698467411,13.792794564977818,50,13.792794564977818,137.26452985081434,9.951901277450448
침체/NNG;늪/NNG;벗어나/VV,1,0.8773951000665619,13.69418274181923,31,13.69418274181923,136.42629708655082,9.962354063666234
침체/NNG;최악/NNG,1,0.8712526276015818,13.102101782881428,54,13.102101782881428,126.32656552361016,9.641702347989872
침체/NNG;심각/NNG,1,0.8705311353221924,13.035672845684457,226,13.035672845684457,126.15209133492034,9.677451469387236
최악/NNG;경기/NNG;침체/NNG,1,0.869654350795531,12.955783496068472,121,12.955783496068472,125.67547838272759,9.700337954926828
경기/NNG;침체/NNG;최악/NNG,1,0.8677062168395568,12.781491343836885,33,12.781491343836885,123.48880234486798,9.66153315156084
심각/NNG;우려/NNG,1,0.8647606654841692,12.526078189509617,309,12.526078189509617,121.77952173386778,9.72207900121972
경기/NNG;침체/NNG;심각/NNG,1,0.8632308210505582,12.397122855486026,142,12.397122855486026,119.24975005700072,9.619147236588837
최악/NNG;침체/NNG,1,0.8627969331053363,12.360995508795018,45,12.360995508795018,122.69032184407554,9.925602008089049
부진/NNG;늪/NNG;빠지/VV,1,0.8616237512585655,12.264279941499046,50,12.264279941499046,121.98782290265346,9.946594784572657
심각/NNG;침체/NNG,1,0.8601633727427449,12.14582705231239,93,12.14582705231239,118.90098175782315,9.789451244918403
늪/NNG;벗어나/VV,1,0.85525927841972,11.763080944524704,79,11.763080944524704,118.15691519807913,10.044725166417985
침체/NNG;예상/NNG;심각/NNG,1,0.8537729102955457,11.651438202667462,35,11.651438202667462,113.57840247623609,9.748015695627483
