word,label,polarity,ratio,count,intensity,pos_score,neg_score
견조/NNG,1,1.0,100.6093511143474,15417,100.6093511143474,876.4840557126638,8.711755378647629
확장/NNG,1,0.9993510206967536,97.57787870280656,13315,97.57787870280656,856.071668053567,8.773214579309608
인플레이션/NNG;압력/NNG,1,0.9986763805411346,94.61252852112403,13981,94.61252852112403,891.1300301452384,9.418731790328136
팽창/NNG,1,0.9982142772933034,92.68224653387963,2638,92.68224653387963,872.1674848888206,9.410297198288166
인상/NNG,1,0.9978639711520499,91.27011346495651,354311,91.27011346495651,892.8593956607723,9.782604203769166
과열/NNG,1,0.9974254437820748,89.56124081035979,8300,89.56124081035979,897.6734560644263,10.023012722268916
상향/NNG,1,0.9974169644410061,89.52882131905463,34624,89.52882131905463,859.3818446556035,9.59894067624343
금리/NNG;상승/NNG,1,0.9935956976417936,76.95299299321863,134151,76.95299299321863,893.8917864698382,11.616075628775233
성장/NNG,1,0.9907240387356975,69.58440916419757,113511,69.58440916419757,874.5045640343724,12.567535954366065
긴축/NNG,1,0.9873966844589025,62.61672118136693,38190,62.61672118136693,888.0960789440312,14.18304986573307
흑자/NNG,1,0.9684733973378093,39.743214864039544,17340,39.743214864039544,901.3976555560829,22.680542040691467
요금/NNG;인상/NNG,1,0.9325601980788937,23.217770669136033,633,23.217770669136033,871.3824076717876,37.530838773859465
상회/NNG,1,0.9312364511163534,22.86104189662895,25693,22.86104189662895,861.7333893329112,37.69440575934472
물가/NNG;상승/NNG,1,0.9302061316876128,22.590577906879492,36857,22.590577906879492,872.9660457670585,38.64292668233223
채권/NNG;가격/NNG;하락/NNG,1,0.9272376085117462,21.84452313050357,2308,21.84452313050357,859.0763555009897,39.3268532514395
상방/NNG;압력/NNG,1,0.9209483412579184,20.409997376768665,243,20.409997376768665,862.4337295097699,42.255455186457816
변동성/NNG;감소/NNG,1,0.8965294284032382,16.21322997330163,223,16.21322997330163,848.2961111760709,52.32122856290587
낙관/NNG,1,0.8818513626947727,14.398846896986312,9381,14.398846896986312,886.5685740919546,61.57219258144303
위축/NNG;않/VX,1,0.8799811581421277,14.194775933181738,633,14.194775933181738,858.1089041848755,60.45244449255154
과열/NNG;우려/NNG,1,0.8095713378033343,9.13710037050015,825,9.13710037050015,90.44923849335464,9.89911841018811
금리/NNG;인상/NNG,1,0.8091717333956848,9.117986530141051,296242,9.117986530141051,89.19087823633949,9.781861153392134
과열/NNG;조짐/NNG,1,0.8044300049813714,8.896562459908516,206,8.896562459908516,83.434680123279,9.37830544092386
물가/NNG;압력/NNG,1,0.7997404509712951,8.686904958887688,2086,8.686904958887688,89.96853497472905,10.356799734833182
물가/NNG;상승/NNG;압력/NNG,1,0.7990834109489279,8.658237829275812,9642,8.658237829275812,91.00127412884774,10.510368959968755
인플레이션/NNG;압력/NNG;높/VA,1,0.7990333050080742,8.656058524531035,1222,8.656058524531035,79.31898763002546,9.163407040887906
경기/NNG;과열/NNG;우려/NNG,1,0.7952116396030248,8.49269631505032,174,8.49269631505032,83.7849032331765,9.865524460670658
과열/NNG;우려/NNG;높/VA,1,0.793940310761396,8.439570012702077,24,8.439570012702077,79.73054046995891,9.447227803070476
성장/NNG;견조/NNG,1,0.7897823379891267,8.269894819844627,247,8.269894819844627,75.31424686343735,9.107038058417814
물가/NNG;인상/NNG;압력/NNG,1,0.7864596137151545,8.138626653486769,58,8.138626653486769,81.72202183338723,10.04125453996292
매파/NNG,1,0.7844861537811519,8.062408431129695,16689,8.062408431129695,904.4948455891866,112.18668135154869
글로벌/NNG;인플레이션/NNG;압력/NNG,1,0.781642642599313,7.954794938625175,235,7.954794938625175,71.28594966157976,8.961381180983667
경기/NNG;과열/NNG,1,0.7805173844960913,7.912912102760812,1643,7.912912102760812,80.47856286947956,10.17053669045567
과열/NNG;막/VV,1,0.7793389292990026,7.869467058578057,368,7.869467058578057,75.53572845336775,9.598582456867973
부동산시장/NNG;과열/NNG,1,0.7784223395468453,7.835967695342626,467,7.835967695342626,72.8971555834912,9.30289128512082
과열/NNG;억제/NNG,1,0.7749729237589648,7.712135428281523,381,7.712135428281523,73.94288260323869,9.587861013446338
수요측면/NNG;인플레이션/NNG;압력/NNG,1,0.7738338442449965,7.6720018136917805,272,7.6720018136917805,67.8083632601121,8.838418564904197
높/VA;인플레이션/NNG;압력/NNG,1,0.7738111252764978,7.671205116825856,270,7.671205116825856,68.45635934901591,8.923807707717945
경제/NNG;과열/NNG,1,0.7732023070947112,7.649909699860178,415,7.649909699860178,79.27701131805216,10.363130341198818
투자/NNG;과열/NNG,1,0.7716483503244492,7.596025887950843,162,7.596025887950843,72.06114473009252,9.486690250016018
금리/NNG;인상/NNG;물가/NNG;상승/NNG,1,0.7707216569113552,7.564211015414059,256,7.564211015414059,76.41662672722182,10.102392248378973
예상/NNG;인플레이션/NNG;압력/NNG,1,0.7695854535295337,7.525523122781098,91,7.525523122781098,66.95580702189788,8.897163151251338
신용/NNG;확장/NNG,1,0.7684727457846434,7.487972694544158,119,7.487972694544158,73.99109305038931,9.88132516886717
인플레이션/NNG;압력/NNG;증가/NNG,1,0.7683642556088365,7.4843290981815915,615,7.4843290981815915,66.514840673177,8.887214845928888
유동성/NNG;확장/NNG,1,0.7682995667684048,7.482158152248328,335,7.482158152248328,73.46578386349019,9.818795910029557
과열/NNG;해소/NNG,1,0.7681492969178805,7.477119241269801,119,7.477119241269801,72.70130810186289,9.723170883859865
경제/NNG;인플레이션/NNG;압력/NNG,1,0.7671667831394546,7.444320155054629,106,7.444320155054629,68.5103585450916,9.203037633809135
