word,label,polarity,intencity
달러화/NNG;엔화/NNG;올랐/VV,1,0.2938442764514101,7.030136248012768
금리/NNG;오른/VV;나타났/VV,1,0.2938442764514101,7.030136248012768
국고채/NNG;금리/NNG;상승/NNG;거래/NNG;마쳤/VV,1,0.2915727916143581,6.9850763079843725
금리/NNG;상승/NNG;거래/NNG;마쳤/VV,1,0.29066326730646225,6.967033875959448
채권가격/NNG;내리/VV,1,0.2895340724164757,6.94463379069663
bbb-등급/NNG;회사채/NNG;금리/NNG;상승/NNG,1,0.2876589252325881,6.907436087118714
국고채/NNG;금리/NNG;상승/NNG;거래/NNG,1,0.27511129083946195,6.658525927548246
채권/NNG;약세/NNG;의미/NNG,1,0.2740021296411886,6.636523254996451
국고/NNG;지표금리/NNG;높/VA,1,0.26699957506257327,6.497612052856318
채권가격/NNG;하락/NNG;채권/NNG;약세/NNG,1,0.2613944481306801,6.386421927664707
채권가격/NNG;하락/NNG;채권/NNG;약세/NNG;의미/NNG,1,0.2613944481306801,6.386421927664707
회사채/NNG;금리/NNG;올랐/VV,1,0.2592174673426949,6.343236685065028
적자/NNG;늘어나/VV,1,0.25667818573832635,6.292864402168103
수출/NNG;둔화/NNG;있/VV,1,0.25667818573832635,6.292864402168103
농산물/NNG;가격/NNG;높/VA,1,0.25667818573832635,6.292864402168103
지표금리/NNG;오른/VV;상승/NNG;거래/NNG;마쳤/VV,1,0.25667818573832635,6.292864402168103
영업이익률/NNG;증가/NNG,1,0.25667818573832635,6.292864402168103
고용/NNG;견조/NNG,1,0.25667818573832635,6.292864402168103
양적완화/NNG;가능성/NNG;약화/NNG,1,0.25667818573832635,6.292864402168103
매출/NNG;양호한/VAX,1,0.25667818573832635,6.292864402168103
투자매력/NNG;낮/VA;보인다/VV,1,0.25667818573832635,6.292864402168103
단기물/NNG;상승/NNG;장기물/NNG;하락/NNG,1,0.25667818573832635,6.292864402168103
인플레이션/NNG;높일/VV,1,0.25667818573832635,6.292864402168103
국고채/NNG;금리/NNG;오를/VV,1,0.25667818573832635,6.292864402168103
소득/NNG;위축/NNG,1,0.25667818573832635,6.292864402168103
투자/NNG;위축/NNG;우려/NNG,1,0.25667818573832635,6.292864402168103
금융위기/NNG;우려/NNG;진정/NNG,1,0.25667818573832635,6.292864402168103
국고/NNG;지표금리/NNG;높/VA;상승/NNG,1,0.25667818573832635,6.292864402168103
경기/NNG;회복세/NNG;뚜렷해/VAX,1,0.25667818573832635,6.292864402168103
지표채권/NNG;높/VA,1,0.25667818573832635,6.292864402168103
금리/NNG;지지/NNG;받/VV,1,0.25667818573832635,6.292864402168103
